,measure_date,temperature,windspeed,solar_radiation
44028,2017-10-10 00:00:00,290.35,3.0,513.3162289241122
44029,2017-10-10 01:00:00,289.84,2.0,28.673411834608842
44030,2017-10-10 02:00:00,287.94,1.0,0.0
44031,2017-10-10 03:00:00,286.03,1.0,0.0
44032,2017-10-10 04:00:00,284.84,2.0,0.0
44033,2017-10-10 05:00:00,284.05,2.0,0.0
44034,2017-10-10 06:00:00,283.55,2.0,0.0
44035,2017-10-10 07:00:00,283.24,2.0,0.0
44036,2017-10-10 08:00:00,282.93,1.0,0.0
44037,2017-10-10 09:00:00,282.23,1.0,0.0
44038,2017-10-10 10:00:00,281.54,1.0,0.0
44039,2017-10-10 11:00:00,280.64,0.0,0.0
44040,2017-10-10 12:00:00,280.54,0.0,0.0
44041,2017-10-10 13:00:00,280.43,2.0,0.0
44042,2017-10-10 14:00:00,280.14,1.0,0.0
44043,2017-10-10 15:00:00,279.84,2.0,313.64699280394547
44044,2017-10-10 16:00:00,280.36,1.0,640.3310284129075
44045,2017-10-10 17:00:00,282.04,2.0,775.2664742289415
44046,2017-10-10 18:00:00,283.94,3.0,837.6427774219214
44047,2017-10-10 19:00:00,285.03,6.0,865.3852557469319
44048,2017-10-10 20:00:00,284.59,6.0,870.1129548421017
44049,2017-10-10 21:00:00,284.71,2.0,853.5601837643216
44050,2017-10-10 22:00:00,286.16,2.0,809.3251072273946
44051,2017-10-10 23:00:00,286.45,1.0,715.8674424327218
