,datetime,core_temp,bark_temp
4999,2021-02-02,302.79999999999995,301.26
4998,2021-02-02,302.84,301.31
4997,2021-02-02,302.9,301.31
4996,2021-02-02,302.9,301.31
4995,2021-02-02,302.96,301.33
4994,2021-02-02,302.96,301.33
4993,2021-02-02,302.97999999999996,301.34999999999997
4992,2021-02-02,303.03,301.37
4991,2021-02-02,303.07,301.39
4990,2021-02-02,303.09,301.39
4989,2021-02-02,303.09,301.45
4988,2021-02-02,303.15,301.42999999999995
4987,2021-02-02,303.21,301.46999999999997
4986,2021-02-02,303.25,301.46999999999997
4985,2021-02-02,303.27,301.45
4984,2021-02-02,303.34,301.51
4983,2021-02-02,303.34,301.46999999999997
4982,2021-02-02,303.4,301.51
4981,2021-02-02,303.4,301.51
4980,2021-02-02,303.41999999999996,301.56
4979,2021-02-02,303.46,301.58
4978,2021-02-02,303.53,301.58
4977,2021-02-02,303.54999999999995,301.56
4976,2021-02-02,303.54999999999995,301.62
4975,2021-02-02,303.53,301.62
4974,2021-02-02,303.53,301.59999999999997
4973,2021-02-02,303.57,301.64
4972,2021-02-02,303.59,301.59999999999997
4971,2021-02-02,303.59,301.64
4970,2021-02-02,303.65,301.65999999999997
4969,2021-02-02,303.63,301.65999999999997
4968,2021-02-02,303.65,301.65999999999997
4967,2021-02-02,303.69,301.7
4966,2021-02-02,303.71,301.7
4965,2021-02-02,303.75,301.67999999999995
4964,2021-02-02,303.77,301.73999999999995
4963,2021-02-02,303.79999999999995,301.71999999999997
4962,2021-02-02,303.79999999999995,301.76
4961,2021-02-02,303.77,301.73999999999995
4960,2021-02-02,303.77,301.73999999999995
4959,2021-02-02,303.79999999999995,301.73999999999995
4958,2021-02-02,303.77,301.76
4957,2021-02-02,303.84,301.76
4956,2021-02-02,303.84,301.71999999999997
4955,2021-02-02,303.84,301.73999999999995
4954,2021-02-02,303.84,301.76
4953,2021-02-02,303.9,301.76
4952,2021-02-02,303.9,301.76
4951,2021-02-02,303.88,301.78999999999996
4950,2021-02-02,303.9,301.83
4949,2021-02-02,303.94,301.81
4948,2021-02-02,303.94,301.83
4947,2021-02-02,303.96,301.81
4946,2021-02-02,304.0,301.83
4945,2021-02-02,304.03,301.84999999999997
4944,2021-02-02,304.0,301.81
4943,2021-02-02,304.0,301.83
4942,2021-02-02,304.03,301.83
4941,2021-02-02,304.09,301.89
4940,2021-02-02,304.09,301.87
4939,2021-02-02,304.10999999999996,301.87
4938,2021-02-02,304.09,301.89
4937,2021-02-02,304.09,301.90999999999997
4936,2021-02-02,304.09,301.90999999999997
4935,2021-02-02,304.09,301.92999999999995
4934,2021-02-02,304.09,301.92999999999995
4933,2021-02-02,304.09,301.90999999999997
4932,2021-02-02,304.15,301.90999999999997
4931,2021-02-02,304.21,301.90999999999997
4930,2021-02-02,304.22999999999996,301.90999999999997
