,date,time,barkTemp (K),coreTemp (K)
0,2021-02-15,12:00:48,300.03,300.39
1,2021-02-15,12:07:01,300.03,300.39
2,2021-02-15,12:10:10,300.03,300.39
3,2021-02-15,12:13:18,300.03,300.37
4,2021-02-15,12:19:36,300.03,300.39
5,2021-02-15,12:22:44,300.03,300.39
6,2021-02-15,12:29:02,300.03,300.35
7,2021-02-15,12:32:10,300.03,300.37
8,2021-02-15,12:35:19,300.03,300.39
9,2021-02-15,12:38:27,300.03,300.33
10,2021-02-15,12:41:36,300.03,300.37
11,2021-02-15,12:44:44,300.03,300.35
12,2021-02-15,12:47:59,300.03,300.37
13,2021-02-15,12:51:02,300.05,300.37
14,2021-02-15,12:54:10,300.03,300.37
15,2021-02-15,12:57:19,300.07,300.33
16,2021-02-15,1:00:27,300.07,300.33
17,2021-02-15,1:03:36,300.09,300.35
18,2021-02-15,1:06:44,300.09,300.33
19,2021-02-15,1:09:53,300.09,300.35
20,2021-02-15,1:13:01,300.13,300.31
21,2021-02-15,1:16:10,300.13,300.33
22,2021-02-15,1:19:18,300.15,300.31
23,2021-02-15,1:25:35,300.15,300.29
24,2021-02-15,1:31:52,300.13,300.31
25,2021-02-15,1:38:09,300.13,300.31
26,2021-02-15,1:41:18,300.13,300.33
27,2021-02-15,1:44:26,300.09,300.33
28,2021-02-15,1:47:34,300.09,300.31
29,2021-02-15,1:50:43,300.09,300.26
30,2021-02-15,1:53:52,300.09,300.26
31,2021-02-15,1:57:00,300.09,300.24
32,2021-02-15,2:00:09,300.11,300.26
33,2021-02-15,2:03:18,300.13,300.24
34,2021-02-15,2:09:35,300.15,300.24
35,2021-02-15,2:12:43,300.15,300.24
36,2021-02-15,2:15:52,300.15,300.22
37,2021-02-15,2:19:01,300.17,300.24
38,2021-02-15,2:22:09,300.15,300.2
39,2021-02-15,2:28:26,300.09,300.22
40,2021-02-15,2:31:35,300.09,300.2
41,2021-02-15,2:34:44,300.09,300.2
42,2021-02-15,2:37:52,300.09,300.18
43,2021-02-15,2:41:01,300.09,300.22
44,2021-02-15,2:44:10,300.09,300.26
45,2021-02-15,2:47:19,300.11,300.22
46,2021-02-15,2:50:27,300.15,300.24
47,2021-02-15,2:53:36,300.15,300.22
48,2021-02-15,2:56:45,300.21,300.2
49,2021-02-15,2:59:54,300.23,300.2
50,2021-02-15,3:03:02,300.27,300.2
51,2021-02-15,3:06:11,300.27,300.2
52,2021-02-15,3:09:20,300.27,300.2
53,2021-02-15,3:12:28,300.27,300.2
54,2021-02-15,3:15:38,300.25,300.24
55,2021-02-15,3:18:46,300.21,300.22
56,2021-02-15,3:21:54,300.25,300.22
57,2021-02-15,3:28:12,300.34,300.2
58,2021-02-15,3:31:20,300.4,300.16
59,2021-02-15,3:34:29,300.42,300.18
60,2021-02-15,3:37:38,300.46,300.14
61,2021-02-15,3:40:46,300.46,300.16
62,2021-02-15,3:43:55,300.53,300.16
63,2021-02-15,3:50:12,300.59,300.14
64,2021-02-15,3:53:20,300.63,300.18
65,2021-02-15,3:59:37,300.71,300.14
66,2021-02-15,4:02:45,300.75,300.1
67,2021-02-15,4:09:03,300.84,300.14
68,2021-02-15,4:12:11,300.84,300.1
69,2021-02-15,4:15:19,300.88,300.12
70,2021-02-15,4:18:27,300.9,300.1
71,2021-02-15,4:21:36,300.9,300.14
72,2021-02-15,4:24:44,300.9,300.12
73,2021-02-15,4:27:53,300.96,300.12
74,2021-02-15,4:31:01,301,300.12
75,2021-02-15,4:34:09,301.03,300.12
76,2021-02-15,4:37:17,301.09,300.14
77,2021-02-15,4:40:26,301.13,300.14
78,2021-02-15,4:43:34,301.15,300.1
79,2021-02-15,4:46:42,301.21,300.1
80,2021-02-15,4:49:50,301.21,300.08
81,2021-02-15,4:52:58,301.25,300.1
82,2021-02-15,4:56:07,301.3,300.12
83,2021-02-15,4:59:15,301.32,300.12
84,2021-02-15,5:02:23,301.34,300.08
85,2021-02-15,5:05:31,301.36,300.06
86,2021-02-15,5:14:55,301.4,300.08
87,2021-02-15,5:18:03,301.4,300.08
88,2021-02-15,5:21:11,301.46,300.04
89,2021-02-15,5:24:19,301.53,300.06
90,2021-02-15,5:27:27,301.53,300.04
91,2021-02-15,5:30:35,301.59,300.1
92,2021-02-15,5:33:43,301.59,300.06
93,2021-02-15,5:36:51,301.65,300.08
94,2021-02-15,5:39:59,301.65,300.01
95,2021-02-15,5:43:06,301.71,300.08
96,2021-02-15,5:46:14,301.75,300.08
97,2021-02-15,5:49:22,301.77,300.04
98,2021-02-15,5:52:30,301.82,300.01
99,2021-02-15,5:55:37,301.84,300.01
100,2021-02-15,5:58:45,301.88,300.01
101,2021-02-15,6:01:53,301.9,300.01
102,2021-02-15,6:05:01,301.92,300.01
103,2021-02-15,6:08:08,301.96,300.04
104,2021-02-15,6:11:16,302,299.97
105,2021-02-15,6:14:24,302.03,300.01
106,2021-02-15,6:17:32,302.07,299.97
107,2021-02-15,6:20:39,302.09,299.99
108,2021-02-15,6:23:47,302.15,300.04
109,2021-02-15,8:16:17,303.15,300.22
110,2021-02-15,8:19:25,303.19,300.24
111,2021-02-15,8:22:32,303.21,300.26
112,2021-02-15,8:25:40,303.21,300.26
113,2021-02-15,8:35:03,303.27,300.33
114,2021-02-15,8:38:10,303.23,300.33
115,2021-02-15,8:41:17,303.23,300.37
116,2021-02-15,8:44:25,303.25,300.33
117,2021-02-15,8:50:40,303.3,300.39
118,2021-02-15,8:53:48,303.34,300.39
119,2021-02-15,8:56:55,303.34,300.41
120,2021-02-15,9:00:03,303.4,300.39
121,2021-02-15,9:03:10,303.4,300.41
122,2021-02-15,9:06:18,303.4,300.45
123,2021-02-15,9:09:25,303.38,300.45
124,2021-02-15,9:12:33,303.36,300.45
125,2021-02-15,9:15:40,303.34,300.45
126,2021-02-15,9:18:48,303.34,300.47
127,2021-02-15,9:21:56,303.34,300.47
128,2021-02-15,9:25:03,303.34,300.47
129,2021-02-15,9:28:11,303.34,300.49
130,2021-02-15,9:31:18,303.3,300.49
131,2021-02-15,9:34:26,303.25,300.47
132,2021-02-15,9:43:50,303.15,300.56
133,2021-02-15,9:46:57,303.15,300.56
134,2021-02-15,9:50:05,303.15,300.58
135,2021-02-15,9:56:21,303.09,300.6
136,2021-02-15,9:59:29,303.09,300.62
137,2021-02-15,10:02:36,303.09,300.64
138,2021-02-15,10:05:44,303.09,300.58
139,2021-02-15,10:08:52,303.09,300.6
140,2021-02-15,10:15:08,303.09,300.62
141,2021-02-15,10:18:15,303.09,300.64
142,2021-02-15,10:21:23,303.15,300.66
143,2021-02-15,10:24:31,303.15,300.64
144,2021-02-15,10:27:39,303.13,300.68
145,2021-02-15,10:30:46,303.15,300.68
146,2021-02-15,10:33:54,303.15,300.7
147,2021-02-15,10:40:10,303.15,300.72
148,2021-02-15,10:43:18,303.13,300.7
149,2021-02-15,10:49:33,303.09,300.72
150,2021-02-15,10:52:41,303.09,300.74
151,2021-02-15,10:55:49,303.09,300.74
152,2021-02-15,10:58:56,303.09,300.7
153,2021-02-15,11:02:04,303.09,300.74
154,2021-02-15,11:05:12,303.09,300.79
155,2021-02-15,11:08:20,303.09,300.79
156,2021-02-15,11:11:28,303.09,300.81
157,2021-02-15,11:14:35,303.09,300.79
158,2021-02-15,11:17:43,303.03,300.79
159,2021-02-15,11:20:51,303.03,300.83
160,2021-02-15,11:23:59,302.98,300.79
161,2021-02-15,11:27:06,302.96,300.83
162,2021-02-15,11:36:30,302.9,300.83
163,2021-02-15,11:39:38,302.84,300.89
164,2021-02-15,11:42:46,302.84,300.83
165,2021-02-15,11:45:54,302.82,300.81
166,2021-02-15,11:49:02,302.77,300.83
167,2021-02-15,11:52:10,302.77,300.85
168,2021-02-15,11:55:18,302.71,300.87
169,2021-02-15,11:58:26,302.71,300.85
170,2021-02-15,12:01:34,302.69,300.83
171,2021-02-15,12:04:42,302.65,300.85
172,2021-02-15,12:07:50,302.65,300.85
173,2021-02-15,12:10:58,302.63,300.89
174,2021-02-15,12:14:06,302.61,300.85
175,2021-02-15,12:17:14,302.59,300.89
176,2021-02-15,12:20:22,302.55,300.85
177,2021-02-15,12:23:30,302.53,300.87
178,2021-02-15,12:26:39,302.53,300.91
179,2021-02-15,12:32:55,302.46,300.87
180,2021-02-15,12:36:03,302.46,300.89
181,2021-02-15,12:39:11,302.4,300.93
182,2021-02-15,12:42:19,302.4,300.93
183,2021-02-15,12:45:27,302.36,300.97
184,2021-02-15,12:51:43,302.32,301.01
185,2021-02-15,12:58:00,302.27,300.95
186,2021-02-15,1:01:08,302.25,300.95
187,2021-02-15,1:04:16,302.21,300.97
188,2021-02-15,1:10:32,302.17,300.97
189,2021-02-15,1:13:41,302.15,301.01
190,2021-02-15,1:16:49,302.15,300.97
191,2021-02-15,1:26:13,302.09,301.06
192,2021-02-15,1:29:22,302.09,301.04
193,2021-02-15,1:32:39,302.07,301.04
194,2021-02-15,1:35:38,302.03,301.08
195,2021-02-15,1:38:46,302.03,301.06
196,2021-02-15,1:41:54,302,301.08
197,2021-02-15,1:45:03,301.96,301.06
198,2021-02-15,1:48:11,301.96,301.06
199,2021-02-15,1:51:19,301.94,301.06
200,2021-02-15,1:54:27,301.94,301.06
201,2021-02-15,1:57:35,301.9,301.08
202,2021-02-15,2:00:44,301.9,301.08
203,2021-02-15,2:03:52,301.88,301.08
204,2021-02-15,2:07:00,301.84,301.1
205,2021-02-15,2:10:08,301.84,301.1
206,2021-02-15,2:16:25,301.82,301.1
207,2021-02-15,2:22:41,301.77,301.12
208,2021-02-15,2:25:50,301.77,301.12
209,2021-02-15,2:28:58,301.73,301.12
210,2021-02-15,2:32:06,301.71,301.14
211,2021-02-15,2:35:14,301.71,301.14
212,2021-02-15,2:38:23,301.69,301.14
213,2021-02-15,2:41:31,301.69,301.14
214,2021-02-15,2:47:47,301.65,301.12
215,2021-02-15,2:50:56,301.65,301.14
216,2021-02-15,2:54:04,301.65,301.14
217,2021-02-15,2:57:12,301.63,301.12
218,2021-02-15,3:00:21,301.59,301.14
219,2021-02-15,3:03:29,301.59,301.14
220,2021-02-15,3:06:37,301.59,301.1
221,2021-02-15,3:09:46,301.59,301.14
222,2021-02-15,3:12:54,301.57,301.14
223,2021-02-15,3:16:02,301.55,301.16
224,2021-02-15,3:19:11,301.53,301.12
225,2021-02-15,3:25:27,301.53,301.14
226,2021-02-15,3:28:35,301.5,301.16
227,2021-02-15,3:31:44,301.48,301.1
228,2021-02-15,3:34:52,301.46,301.14
229,2021-02-15,3:38:00,301.46,301.14
230,2021-02-15,3:44:17,301.44,301.12
231,2021-02-15,3:47:25,301.44,301.12
232,2021-02-15,3:50:33,301.4,301.16
233,2021-02-15,3:53:42,301.4,301.16
234,2021-02-15,3:56:50,301.4,301.14
235,2021-02-15,3:59:58,301.4,301.12
236,2021-02-15,4:03:07,301.38,301.12
237,2021-02-15,4:06:15,301.38,301.14
238,2021-02-15,4:09:34,301.34,301.14
239,2021-02-15,4:12:32,301.34,301.14
240,2021-02-15,4:15:40,301.34,301.14
241,2021-02-15,4:18:49,301.34,301.14
242,2021-02-15,4:21:57,301.32,301.14
243,2021-02-15,4:25:05,301.3,301.16
244,2021-02-15,4:28:13,301.27,301.14
245,2021-02-15,4:31:22,301.27,301.14
246,2021-02-15,4:34:30,301.27,301.14
247,2021-02-15,4:37:38,301.27,301.14
248,2021-02-15,4:40:47,301.27,301.12
249,2021-02-15,4:43:55,301.27,301.16
250,2021-02-15,4:47:04,301.23,301.12
251,2021-02-15,4:50:12,301.23,301.12
252,2021-02-15,4:53:20,301.23,301.12
253,2021-02-15,4:56:28,301.21,301.16
254,2021-02-15,5:02:45,301.21,301.12
255,2021-02-15,5:05:53,301.21,301.14
256,2021-02-15,5:09:02,301.19,301.12
257,2021-02-15,5:12:10,301.17,301.1
258,2021-02-15,5:21:35,301.15,301.1
259,2021-02-15,5:27:52,301.15,301.14
260,2021-02-15,5:31:01,301.15,301.08
261,2021-02-15,5:34:09,301.15,301.14
262,2021-02-15,5:37:17,301.15,301.1
263,2021-02-15,5:40:26,301.11,301.14
264,2021-02-15,5:43:34,301.13,301.12
265,2021-02-15,5:46:42,301.09,301.12
266,2021-02-15,5:49:51,301.09,301.12
267,2021-02-15,5:52:59,301.09,301.1
268,2021-02-15,5:56:07,301.09,301.14
269,2021-02-15,5:59:16,301.07,301.14
270,2021-02-15,6:02:24,301.07,301.12
271,2021-02-15,6:05:33,301.05,301.12
272,2021-02-15,6:08:41,301.05,301.08
273,2021-02-15,6:11:49,301.05,301.1
274,2021-02-15,6:14:58,301.03,301.1
275,2021-02-15,6:18:06,301.03,301.1
276,2021-02-15,6:24:23,301.03,301.08
277,2021-02-15,6:27:31,301.03,301.12
278,2021-02-15,6:30:39,301.03,301.06
279,2021-02-15,6:36:56,301,301.01
280,2021-02-15,6:40:05,300.98,301.06
281,2021-02-15,6:43:13,300.96,301.06
282,2021-02-15,6:46:21,300.96,301.08
283,2021-02-15,6:49:30,300.96,301.08
284,2021-02-15,6:58:55,300.96,301.04
285,2021-02-15,7:02:03,300.96,301.04
286,2021-02-15,7:05:12,300.96,301.01
287,2021-02-15,7:08:20,300.9,301.04
288,2021-02-15,7:11:29,300.9,301.01
289,2021-02-15,7:14:37,300.9,301.01
290,2021-02-15,7:17:46,300.9,301.01
291,2021-02-15,7:20:54,300.86,301.01
292,2021-02-15,7:24:02,300.84,300.97
293,2021-02-15,7:27:11,300.84,300.99
294,2021-02-15,7:30:19,300.84,301.01
295,2021-02-15,7:33:28,300.84,300.99
296,2021-02-15,7:36:36,300.84,300.95
297,2021-02-15,7:42:53,300.82,300.99
298,2021-02-15,7:46:02,300.8,300.99
299,2021-02-15,7:49:10,300.77,301.01
300,2021-02-15,7:52:19,300.77,301.01
301,2021-02-15,7:55:27,300.71,301.01
302,2021-02-15,7:58:36,300.67,300.97
303,2021-02-15,8:01:45,300.65,301.01
304,2021-02-15,8:04:53,300.65,300.99
305,2021-02-15,8:08:02,300.65,300.97
306,2021-02-15,8:11:11,300.65,300.93
307,2021-02-15,8:14:19,300.63,300.97
308,2021-02-15,8:17:28,300.61,300.95
309,2021-02-15,8:20:36,300.59,300.95
310,2021-02-15,8:26:54,300.59,300.95
311,2021-02-15,8:30:04,300.59,300.99
312,2021-02-15,8:36:20,300.53,300.97
313,2021-02-15,8:42:38,300.53,300.95
314,2021-02-15,8:48:55,300.5,300.97
315,2021-02-15,8:52:04,300.48,300.97
316,2021-02-15,8:55:12,300.48,300.89
317,2021-02-15,8:58:21,300.46,300.89
318,2021-02-15,9:01:29,300.46,300.89
319,2021-02-15,9:04:38,300.46,300.89
320,2021-02-15,9:10:55,300.44,300.87
321,2021-02-15,9:14:04,300.46,300.87
322,2021-02-15,9:17:13,300.44,300.87
323,2021-02-15,9:20:21,300.4,300.89
324,2021-02-15,9:23:30,300.4,300.87
325,2021-02-15,9:26:39,300.4,300.89
326,2021-02-15,9:29:47,300.4,300.85
327,2021-02-15,9:32:56,300.4,300.87
328,2021-02-15,9:36:04,300.4,300.87
329,2021-02-15,9:39:13,300.4,300.89
330,2021-02-15,9:42:21,300.4,300.89
331,2021-02-15,9:45:30,300.4,300.87
332,2021-02-15,9:48:39,300.4,300.83
333,2021-02-15,9:51:47,300.38,300.83
334,2021-02-15,9:54:56,300.36,300.83
335,2021-02-15,9:58:04,300.34,300.85
336,2021-02-15,10:01:13,300.34,300.81
337,2021-02-15,10:04:21,300.34,300.83
338,2021-02-15,10:10:39,300.34,300.83
339,2021-02-15,10:13:47,300.34,300.81
340,2021-02-15,10:16:56,300.34,300.83
341,2021-02-15,10:23:13,300.32,300.76
342,2021-02-15,10:26:21,300.3,300.85
343,2021-02-15,10:29:30,300.27,300.81
344,2021-02-15,10:32:39,300.27,300.72
345,2021-02-15,10:35:47,300.27,300.79
346,2021-02-15,10:38:56,300.27,300.76
347,2021-02-15,10:42:04,300.27,300.74
348,2021-02-15,10:45:13,300.27,300.76
349,2021-02-15,10:48:22,300.27,300.74
350,2021-02-15,10:51:30,300.27,300.72
351,2021-02-15,10:54:39,300.27,300.74
352,2021-02-15,10:57:47,300.25,300.7
353,2021-02-15,11:04:05,300.23,300.66
354,2021-02-15,11:07:13,300.23,300.7
355,2021-02-15,11:10:22,300.23,300.72
356,2021-02-15,11:13:30,300.21,300.7
357,2021-02-15,11:19:47,300.21,300.7
358,2021-02-15,11:22:56,300.21,300.64
359,2021-02-15,11:26:04,300.21,300.7
360,2021-02-15,11:29:13,300.21,300.66
361,2021-02-15,11:32:22,300.21,300.7
362,2021-02-15,11:38:39,300.21,300.7
363,2021-02-15,11:41:47,300.21,300.66
364,2021-02-15,11:48:04,300.23,300.62
365,2021-02-15,11:54:22,300.21,300.66
366,2021-02-15,11:57:30,300.23,300.64
367,2021-02-16,12:00:39,300.21,300.64
368,2021-02-16,12:03:47,300.21,300.66
369,2021-02-16,12:06:56,300.21,300.64
370,2021-02-16,12:10:04,300.21,300.64
371,2021-02-16,12:13:13,300.21,300.62
372,2021-02-16,12:16:21,300.21,300.62
373,2021-02-16,12:19:30,300.21,300.64
374,2021-02-16,12:22:38,300.21,300.64
375,2021-02-16,12:25:47,300.21,300.6
376,2021-02-16,12:28:55,300.21,300.58
377,2021-02-16,12:32:04,300.21,300.64
378,2021-02-16,12:38:21,300.21,300.56
379,2021-02-16,12:41:30,300.21,300.58
380,2021-02-16,12:44:38,300.21,300.51
381,2021-02-16,12:47:47,300.21,300.54
382,2021-02-16,12:50:55,300.21,300.56
383,2021-02-16,12:54:04,300.21,300.54
384,2021-02-16,12:57:12,300.21,300.51
385,2021-02-16,1:00:21,300.21,300.51
386,2021-02-16,1:03:29,300.25,300.56
387,2021-02-16,1:06:38,300.25,300.56
388,2021-02-16,1:09:46,300.27,300.51
389,2021-02-16,1:12:55,300.27,300.49
390,2021-02-16,1:16:03,300.27,300.51
391,2021-02-16,1:19:12,300.27,300.45
392,2021-02-16,1:22:20,300.27,300.47
393,2021-02-16,1:25:29,300.32,300.47
394,2021-02-16,1:31:45,300.34,300.45
395,2021-02-16,1:34:50,300.38,300.49
396,2021-02-16,1:37:58,300.4,300.41
397,2021-02-16,1:41:07,300.4,300.45
398,2021-02-16,1:44:15,300.44,300.47
399,2021-02-16,1:47:23,300.46,300.47
400,2021-02-16,1:50:32,300.46,300.45
401,2021-02-16,1:53:40,300.53,300.43
402,2021-02-16,1:56:49,300.55,300.45
403,2021-02-16,1:59:57,300.57,300.39
